CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Altimont Wilks,,,D,House,6,Black,M,https://wilksworks.org/,99,99,99,99,99,99,His profiles have not been updated since his 2024 run.
Christopher Burnett,,,R,House,6,White,M,https://www.burnettforcongress.com/,https://x.com/chrisburnettcd6,https://www.facebook.com/BurnettforCongress/,https://www.instagram.com/burnettforcongress/,https://www.youtube.com/@Chris-Burnett-For-Congress,https://www.tiktok.com/@chris_burnett_6th_md,99,N/A
Robin Ficker,,,R,House,6,White,M,https://voteficker.com/,https://x.com/robin_ficker,https://www.facebook.com/people/Robin-for-Maryland/61550672608320/,https://www.instagram.com/robin.ficker/,https://www.youtube.com/@robin4maryland,99,99,His YouTube account has been updated for his 2026 run but he hasn't posted any content since his 2024 run.
Mariela Roca,,,R,House,6,Hispanic,F,https://rocaforcongress.com/,https://x.com/drmarielaroca,https://www.facebook.com/drmarielaroca,https://www.instagram.com/drmarielaroca/,https://www.youtube.com/@rocaforcongress,99,99,N/A
Kweisi Mfume,X,,D,House,7,Black,M,,,,,,,,N/A
Mark Conway,,,D,House,7,Black,M,https://www.conway4congress.com/,https://x.com/conway4congress,https://www.facebook.com/conway4congress,https://www.instagram.com/conway4congress/,https://www.youtube.com/@Conway4Congress,https://www.tiktok.com/@conway4congress,99,N/A
Tashi Davis,,,D,House,7,Black,M,99,99,99,99,99,99,99,His profiles have not been updated since his 2024 run.
Theo Gillespie,,,D,House,7,White,M,https://gillespieforthepeople.com/,https://x.com/theoforcongress,https://www.facebook.com/gillespieforthepeople,https://www.instagram.com/gillespieforthepeople/,99,99,99,N/A
Scott Collier,,,R,House,7,White,M,99,99,99,99,99,99,99,His profiles have not been updated since his 2024 run.
Jamie Raskin,X,,D,House,8,White,M,,,,,,,,N/A
J.D. Kumar,,,D,House,8,Not Sure,M,https://www.votejdk.com/,https://x.com/VoteJDK,99,https://www.instagram.com/votejdk,99,99,99,N/A
Stephen Leon,,,D,House,8,Hispanic,M,https://www.leonforcongress.us/,https://x.com/stephenalanleon,https://www.facebook.com/leonforcongress,https://www.instagram.com/leonforcongress,https://www.youtube.com/@leonforcongress,https://www.tiktok.com/@leonforcongress,https://bsky.app/profile/stephenalanleon.bsky.social,This is the most insane candidate I have ever seen. I love him.
Boris Velasquez,,,D,House,8,Hispanic,M,99,99,99,99,99,99,99,N/A
Anita Cox,,,R,House,8,Black,F,99,99,99,99,99,99,99,N/A
Donald Lech,,,R,House,8,Not Sure,M,99,99,99,99,99,99,99,N/A
Cheryl Riley,,,R,House,8,White,F,https://www.cheryl4maryland.com/,https://x.com/Cheryl4moco,https://www.facebook.com/cheryl4maryland/,https://www.instagram.com/cherylriley4moco/,99,https://www.tiktok.com/@cheryl4maryland,99,N/A
Michael Yadeta,,,R,House,8,Black,M,https://vote4ymichael.org/,https://x.com/MichaelYadeta,99,https://www.instagram.com/michael_yadeta/,99,99,99,He has a second website: https://vote4ymichael.com/. The home page is under maintenance but subpages are available. 
