CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Abraham Enriquez,,R,H,19,Hispanic,M,https://abrahamenriquez.com/,https://x.com/AbrahamForTX,https://www.facebook.com/AbrahamForTX,https://www.instagram.com/abrahamfortx,99,https://www.tiktok.com/@abraham4texas,99,N/A
Donald R May,,R,H,19,White,M,https://www.donaldmayforcongress.com/,99,https://www.facebook.com/MayforTexas/,99,99,99,99,N/A
Tom Sell,,R,H,19,White,M,https://www.selltexastrue.com/,https://x.com/SellForTexas19,https://www.facebook.com/SellForTexas19/,https://www.instagram.com/sellfortexas19/,99,99,99,N/A
Matt Smith,,R,H,19,White,M,https://www.fatmattsmithforcongress.com/,99,https://www.facebook.com/people/Fat-Matt-Smith-for-US-Congress/61584207898602/,99,https://www.youtube.com/@FatMattSmithForCongress,https://www.tiktok.com/@mattsmithforcongress,99,N/A
Ryan Zink,,R,H,19,White,M,https://ryanzink.vote/,https://x.com/RyanZ4Congress,99,99,99,https://www.tiktok.com/@ryanzinkforcongress,99,N/A
John Atwood,,D,H,20,Not Sure,M,99,99,https://www.facebook.com/JohnAtwoodForCongress/,99,https://www.youtube.com/@johnatwoodforcongress,99,99,N/A
Kendra Elizabeth Wilkerson,,D,H,20,Black,F,99,99,99,https://www.instagram.com/mskendrawilkerson/,https://www.youtube.com/@kendrawilkerson8127/videos,99,99,N/A
Edgardo Baez,,R,H,20,Hispanic,M,https://www.drbaezforcongress.com/,https://x.com/ThePhDLawyer,https://www.facebook.com/people/Dr-B%C3%A1ez-For-Congress/61576306919291/,https://www.instagram.com/e.r.baez/,https://www.youtube.com/@drbaez4Congress,https://www.tiktok.com/@drbaez4congress,99,N/A
Anthony James Tristan,,I,H,20,Hispanic,M,https://tristanforcongress.com/,99,https://www.facebook.com/people/Anthony-Trist%C3%A1n/61576920046851/,https://www.instagram.com/anthonyjtristantx,99,99,99,N/A
Kristin Hook,,D,H,21,White,F,https://www.drkristinhook.org/,https://x.com/Kristin_Hook,https://www.facebook.com/HookforTexas?_rdr,https://www.instagram.com/dr.kristinhook/?utm_source=qr,99,https://www.tiktok.com/@dr.kristinhook,https://bsky.app/profile/kristinhook.bsky.social,N/A
