CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
"Patrick J. ""PJK"" Keating",Democratic,U.S. House,2,,Male,https://votepjk.com/,https://x.com/KeatingLaw,https://www.facebook.com/people/Patrick-Keating-for-Congress-VOTE-PJK-Illinois-2nd-District/61581104991853/,https://www.instagram.com/patrick_keating_for_congress,99,99,99,
Toni C. Brown,Democratic,U.S. House,2,,,99,99,99,99,99,99,99,
Sidney Moore,Democratic,U.S. House,2,,Male,https://www.sidneymooreforcongress.com/,99,99,99,99,99,99,
Adal Regis,Democratic,U.S. House,2,,Male,https://www.regisforcongress.com/,https://x.com/adalregis,https://www.facebook.com/adalregis,https://www.instagram.com/regisforcongress/,99,99,https://bsky.app/profile/adalregis.bsky.social,
Michael Scott Noack,Republican,U.S. House,2,,Male,https://noack4congress.com/,https://x.com/Noack4ILDist2,99,99,99,99,99,
Angel Oakley,Republican,U.S. House,3,,Female,https://www.libertyangel.us/,https://x.com/angeloakley,https://www.facebook.com/libertyangel.us/,https://www.instagram.com/angeloakley/,https://www.youtube.com/@AngelOakley,https://www.tiktok.com/@angel_oakley,99,
Patty Garcia,Democratic,U.S. House,4,Hispanic,Female,https://pattyforillinois.com/,https://x.com/PattyforIL,https://www.facebook.com/pattyforil,https://www.instagram.com/pattyforil,99,99,https://bsky.app/profile/pattyforil.bsky.social,
Lupe Castillo,Republican,U.S. House,4,,Female,https://www.dgtro.org/articles/meet-lupe,99,99,99,99,99,99,
Ed Hershey,Working Class,U.S. House,4,,Male,99,https://x.com/Efhershe,99,99,99,99,99,
Matthew Conroy,Democratic,U.S. House,5,,Male,https://www.mattconroyforcongress.com/,https://x.com/ConroyForIL,99,https://www.instagram.com/mattconroyforcongress,https://www.youtube.com/@MattConroyForCongress,https://www.tiktok.com/@mattconroyforcongress,https://bsky.app/profile/conroyforcongress.bsky.social,
Anthony Michael Tamez,Democratic,U.S. House,5,,Male,https://bio.site/tamezforcongress,https://x.com/tamez4congress,https://www.facebook.com/anthonypochel,https://www.instagram.com/tamezforcongress,99,https://www.tiktok.com/@tamezforcongress,https://bsky.app/profile/tamezforcongress.bsky.social,
Ellen A. Corley,Democratic,U.S. House,5,,Female,https://www.ellenois.net/,99,99,99,99,99,99,
Tommy Hanson,Republican,U.S. House,5,,Male,https://votetommyhanson.com/,https://x.com/TommyHansonCong,https://www.facebook.com/people/Tommy-Hanson-for-Congress/100084174752154/#,https://www.instagram.com/votetommyhanson/,https://www.youtube.com/channel/UCD5a2eEDVXgqR5SXsrUIgnA,99,99,
Kimball Ladien,Republican,U.S. House,5,,Male,https://kimladien4congress.com/,https://x.com/Kimball_Ladien,https://www.facebook.com/KimballLadien,99,99,99,99,not sure if these even count
Barry Wicker,Republican,U.S. House,5,,Male,https://www.wickerforcongressman.com/,99,99,99,99,99,99,
"Joseph ""Joey"" Ruzevich",Democratic,U.S. House,6,,Male,https://www.joey4congress.com/,https://x.com/joeyruzevichIL6,https://www.facebook.com/p/Joey-Ruzevich-For-Congress-IL-6-61581248858675/,https://www.instagram.com/joeyruzevichil6/,https://www.youtube.com/channel/UCrioWCmHcQWYAvikcZnsTeA,https://www.tiktok.com/@joeyruzevichil6,99,
Niki Conforti,Republican,U.S. House,6,,Female,https://conforti4congress.com/,https://x.com/Niki_Conforti,https://www.facebook.com/WinWithConforti/,https://www.instagram.com/niki_conforti/,https://www.youtube.com/@conforti4congress,99,99,
Skylar Duensing,Republican,U.S. House,6,,Male,https://voteskylar.com/,https://x.com/SkyThePatriot76,99,https://www.instagram.com/skylarthepatriot,99,99,99,second instagram also with campaign stuff: https://www.instagram.com/skylar.thepatriot/  most of his accounts are just personal
La Shawn K. Ford,Democratic,U.S. House,7,,Male,https://fordforcongress.com/,https://www.facebook.com/fordforcongress,https://www.facebook.com/fordforcongress,https://www.instagram.com/fordforthe7th,https://www.youtube.com/@LaShawnK.FordForCongress,99,99,
Jazmin J. Robinson,Democratic,U.S. House,7,Hispanic,Female,https://www.jazminjrobinson.com/,https://x.com/JazminJRobinson,https://www.facebook.com/people/Jazmin-J-Robinson-for-Congress-IL-7/61580598907942/,https://www.instagram.com/jazminjrobinson/,https://www.youtube.com/@JazminJRobinson,https://www.tiktok.com/@jazminjrobinson,99,
Melissa Conyears-Ervin,Democratic,U.S. House,7,,Female,https://www.melissaforcongress.org/,https://www.melissaforcongress.org/,https://www.facebook.com/MCEforCongress,99,99,99,99,
